x;y;v;theta;t
1472.72;1161.35;11.3516;3.00577;447
1461.7;1162.85;11.1204;3.00577;448
1450.24;1164.42;11.5743;3.00577;449
1439.05;1165.95;11.2909;3.00577;450
1428.08;1167.45;11.0659;3.00577;451
1417.16;1168.94;11.0276;3.00577;452
1406.26;1170.43;10.9999;3.00577;453
1395.51;1171.9;10.8542;3.00577;454
1385.07;1173.33;10.5376;3.00577;455
1374.71;1173.56;10.3545;3.11895;456
1364.5;1173.79;10.2176;3.11895;457
1353.79;1174.03;10.71;3.11895;458
1343.4;1174.27;10.3979;3.11895;459
1333.44;1174.5;9.95591;3.11895;460
1324.24;1177.3;9.6178;2.84557;461
1314.86;1180.16;9.81406;2.84557;462
1305.72;1182.95;9.5478;2.84557;463
1296.49;1185.76;9.64997;2.84557;464
1287.12;1188.62;9.79983;2.84557;465
1277.94;1191.42;9.59651;2.84557;466
1269.11;1194.11;9.22926;2.84557;467
1259.88;1196.93;9.6564;2.84557;468
1250.61;1199.76;9.68815;2.84557;469
1241.1;1202.66;9.94185;2.84557;470
1231.33;1205.64;10.2116;2.84557;471
1224.18;1213.48;10.6149;2.30971;472
1223.09;1224.43;10.999;1.67014;473
1225.05;1235.71;11.4523;1.3986;474
1226.96;1246.64;11.0954;1.3986;475
1223.88;1257.31;11.1057;1.85179;476
1220.93;1267.53;10.6306;1.85179;477
1218.1;1277.33;10.2075;1.85179;478
1215.29;1287.07;10.1352;1.85179;479
1212.34;1297.28;10.6293;1.85179;480
1209.27;1307.91;11.0588;1.85179;481
1206.14;1318.76;11.2898;1.85179;482
1208.19;1330.16;11.5848;1.39288;483
1210.34;1342.11;12.1483;1.39288;484
1212.43;1353.73;11.8072;1.39288;485
1214.52;1365.37;11.8236;1.39288;486
1216.58;1376.79;11.5983;1.39288;487
1223.95;1385.54;11.4442;0.870595;488
1223.95;1396.72;11.1858;1.57125;489
1223.94;1407.37;10.6508;1.57125;490
1230.49;1415.35;10.3195;0.883681;491
1235.23;1424.65;10.436;1.09947;492
1239.79;1433.6;10.0423;1.09947;493
1244.48;1442.81;10.3415;1.09947;494
1249;1451.67;9.94235;1.09947;495
1253.69;1460.88;10.3337;1.09947;496
1258.55;1470.42;10.7081;1.09947;497
1263.53;1480.19;10.9706;1.09947;498
1268.43;1489.81;10.7951;1.09947;499
1273.42;1499.59;10.9806;1.09947;500
1282.13;1505.71;10.6455;0.611983;501
1290.56;1511.62;10.2962;0.611983;502
1295.51;1520.53;10.1889;1.06396;503
1293.01;1530.21;9.99243;1.82312;504
1290.43;1540.22;10.3336;1.82312;505
1287.72;1550.71;10.8431;1.82312;506
1281.1;1559.75;11.2046;2.20347;507
1274.64;1568.56;10.9198;2.20347;508
1267.87;1577.79;11.4466;2.20347;509
1261.16;1586.94;11.3494;2.20347;510
1254.51;1596.01;11.2454;2.20347;511
1247.81;1605.15;11.334;2.20347;512
1241.54;1615.04;11.7147;2.13609;513
1235.48;1624.59;11.3048;2.13609;514
1229.23;1634.45;11.6787;2.13609;515
1222.76;1644.65;12.0744;2.13609;516
1216.46;1654.58;11.7582;2.13609;517
1210.31;1664.27;11.4833;2.13609;518
1204.24;1673.83;11.3223;2.13609;519
1198.39;1683.06;10.9302;2.13609;520
1192.47;1692.4;11.052;2.13609;521
1186.35;1702.03;11.4125;2.13609;522
1180.24;1711.67;11.4126;2.13609;523
1174.35;1720.96;11.0005;2.13609;524
1168.42;1730.31;11.0695;2.13609;525
1164.64;1740.39;10.7714;1.92934;526
1160.85;1750.51;10.8089;1.92934;527
